datetime_from,pm25,pm10,window,location_id,location_name
2018-03-09 04:30:00+00:00,154.0,,Other/Gap period,5662,Nehru Nagar
2018-03-09 05:00:00+00:00,154.0,,Other/Gap period,5662,Nehru Nagar
2018-03-09 05:30:00+00:00,150.0,,Other/Gap period,5662,Nehru Nagar
2018-03-09 06:00:00+00:00,150.0,,Other/Gap period,5662,Nehru Nagar
2018-03-09 19:30:00+00:00,151.0,,Other/Gap period,5662,Nehru Nagar
2018-03-09 20:00:00+00:00,151.0,,Other/Gap period,5662,Nehru Nagar
2018-03-09 21:30:00+00:00,153.0,,Other/Gap period,5662,Nehru Nagar
2018-03-09 22:00:00+00:00,153.0,,Other/Gap period,5662,Nehru Nagar
2018-03-10 01:30:00+00:00,146.0,,Other/Gap period,5662,Nehru Nagar
2018-03-10 02:00:00+00:00,146.0,,Other/Gap period,5662,Nehru Nagar
2018-03-10 03:30:00+00:00,138.0,,Other/Gap period,5662,Nehru Nagar
2018-03-10 04:00:00+00:00,138.0,,Other/Gap period,5662,Nehru Nagar
2018-03-10 04:30:00+00:00,136.0,,Other/Gap period,5662,Nehru Nagar
2018-03-10 05:00:00+00:00,136.0,,Other/Gap period,5662,Nehru Nagar
2018-03-10 19:30:00+00:00,122.0,,Other/Gap period,5662,Nehru Nagar
2018-03-10 20:00:00+00:00,122.0,,Other/Gap period,5662,Nehru Nagar
2018-03-10 20:30:00+00:00,120.0,,Other/Gap period,5662,Nehru Nagar
2018-03-10 21:00:00+00:00,120.0,,Other/Gap period,5662,Nehru Nagar
2018-03-10 21:30:00+00:00,115.0,,Other/Gap period,5662,Nehru Nagar
2018-03-10 22:00:00+00:00,115.0,,Other/Gap period,5662,Nehru Nagar
2018-03-10 22:30:00+00:00,106.0,,Other/Gap period,5662,Nehru Nagar
2018-03-10 23:00:00+00:00,106.0,,Other/Gap period,5662,Nehru Nagar
2018-03-11 00:30:00+00:00,94.0,,Other/Gap period,5662,Nehru Nagar
2018-03-11 01:00:00+00:00,94.0,,Other/Gap period,5662,Nehru Nagar
2018-03-11 01:30:00+00:00,94.0,,Other/Gap period,5662,Nehru Nagar
2018-03-11 02:00:00+00:00,94.0,,Other/Gap period,5662,Nehru Nagar
2018-03-11 02:30:00+00:00,94.0,,Other/Gap period,5662,Nehru Nagar
